step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
280,0.28,2,0.013184,1.68e-06,0,-743.444,18.5054,0.00032407
281,0.281,1,0.018428,1.48655e-06,0,-729.892,20.2485,0.0
282,0.28200000000000003,0,0.009353,5.97969e-08,0,-715.948,22.3539,
283,0.28300000000000003,0,0.049569,2.9113e-05,0,-701.758,24.6905,
284,0.28400000000000003,0,0.059441,1.54501e-08,0,-687.453,27.1457,
285,0.28500000000000003,0,0.053246,8.64027e-05,0,-673.146,29.6291,
286,0.28600000000000003,0,0.052842,6.24584e-08,0,-658.927,32.0736,
287,0.28700000000000003,0,0.052387,0.000131752,0,-644.861,34.434,
288,0.28800000000000003,0,0.06814,5.51992e-05,0,-630.992,36.6836,
289,0.289,0,0.056088,0.000131931,0,-617.346,38.8082,
290,0.29,0,0.085467,5.84727e-08,0,-603.933,40.7999,
291,0.291,0,0.027837,6.67445e-05,0,-590.761,42.6515,
292,0.292,0,0.010366,5.60951e-08,0,-577.835,44.3516,
293,0.293,0,0.012288,1.35282e-08,0,-565.166,45.8819,
294,0.294,0,0.010565,5.17371e-08,0,-552.771,47.2163,
295,0.295,0,0.039302,0.000188398,0,-540.678,48.3209,
296,0.296,0,0.032787,4.61321e-05,0,-528.919,49.1564,
297,0.297,0,0.011404,4.53816e-08,0,-517.536,49.6804,
298,0.298,0,0.009106,4.40479e-08,0,-506.57,49.8508,
299,0.299,0,0.086397,4.34859e-05,0,-496.065,49.6297,
300,0.3,0,0.010215,4.18021e-08,0,-486.06,48.9871,
301,0.301,0,0.037038,2.91378e-05,0,-476.585,47.9051,
302,0.302,0,0.00917,4.18744e-08,0,-467.658,46.3806,
303,0.303,0,0.014029,4.82529e-08,0,-459.283,44.4279,
304,0.304,0,0.011404,5.99999e-08,0,-451.445,42.0796,
305,0.305,0,0.062344,1.58186e-05,0,-444.111,39.3862,
306,0.306,0,0.012948,8.17064e-08,0,-437.231,36.415,
307,0.307,0,0.282285,2.67999e-05,0,-430.735,33.2466,
308,0.308,0,0.019941,7.26561e-08,0,-424.542,29.9721,
309,0.309,0,0.009093,5.65989e-08,0,-418.56,26.6885,
310,0.31,0,0.012,4.92613e-08,0,-412.69,23.4948,
311,0.311,0,0.008922,6.78536e-08,0,-406.833,20.4874,
312,0.312,0,0.009034,9.92089e-08,0,-400.891,17.7563,
313,0.313,0,0.055726,2.58728e-05,0,-394.772,15.3809,
314,0.314,0,0.036642,1.03611e-07,0,-388.397,13.4278,
315,0.315,0,0.044372,0.000290342,0,-381.699,11.9475,
316,0.316,0,0.096927,6.14469e-06,0,-374.626,10.9734,
317,0.317,0,0.014281,3.45619e-08,0,-367.146,10.5208,
318,0.318,0,0.047891,7.46405e-06,0,-359.242,10.587,
319,0.319,0,0.066005,0.000186601,0,-350.917,11.1526,
320,0.32,0,0.009318,6.88875e-08,0,-342.193,12.1826,
321,0.321,0,0.012879,1.2228e-08,0,-333.103,13.6295,
322,0.322,0,0.070336,7.46966e-05,0,-323.696,15.4353,
323,0.323,0,0.009309,2.41384e-08,0,-314.031,17.5343,
324,0.324,0,0.067172,1.05117e-05,0,-304.173,19.856,
325,0.325,0,0.01511,3.96466e-09,0,-294.194,22.3269,
326,0.326,0,0.048119,3.32231e-05,0,-284.168,24.8725,
327,0.327,0,0.008967,1.26032e-08,0,-274.168,27.419,
