step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
277,0.277,809,0.040199,4.86454e-08,0,-177.07,384.204,1857.45
278,0.278,804,0.210144,1.16457e-05,0,-202.572,380.05,1826.54
279,0.279,798,0.120005,1.42379e-06,0,-229.506,375.816,1793.96
280,0.28,795,0.112755,1.15261e-05,0,-257.793,371.483,1759.83
281,0.281,789,0.149343,3.18759e-06,0,-287.349,367.031,1724.26
282,0.28200000000000003,782,0.181674,1.62982e-05,0,-318.087,362.443,1687.36
283,0.28300000000000003,778,0.279729,1.63249e-05,0,-349.919,357.698,1649.25
284,0.28400000000000003,774,0.154242,8.43721e-06,0,-382.755,352.777,1610.05
285,0.28500000000000003,765,0.036611,5.95654e-08,0,-416.502,347.661,1569.86
286,0.28600000000000003,760,0.048247,1.78063e-08,0,-451.067,342.335,1528.82
287,0.28700000000000003,755,0.035803,1.65763e-08,0,-486.36,336.782,1487.03
288,0.28800000000000003,753,0.107349,1.69513e-05,0,-522.287,330.987,1444.61
289,0.289,750,0.159118,1.58553e-05,0,-558.755,324.936,1401.67
290,0.29,747,0.032748,7.87198e-08,0,-595.671,318.615,1358.33
291,0.291,745,0.102521,1.44434e-05,0,-632.942,312.011,1314.69
292,0.292,741,0.09553,4.18366e-06,0,-670.478,305.116,1270.86
293,0.293,739,0.035143,7.33656e-08,0,-708.191,297.923,1226.95
294,0.294,737,0.178004,5.7524e-06,0,-745.993,290.427,1183.05
295,0.295,734,0.711138,0.554931,0,-783.8,282.626,1139.26
296,0.296,733,0.033624,5.13565e-08,0,-821.529,274.523,1095.65
297,0.297,730,0.126918,1.03532e-05,0,-859.097,266.124,1052.32
298,0.298,729,0.032342,3.88399e-08,0,-896.427,257.436,1009.34
299,0.299,725,0.033881,4.71413e-08,0,-933.439,248.474,966.778
300,0.3,725,0.110693,6.87269e-06,0,-970.058,239.254,924.705
301,0.301,724,0.032398,3.77803e-08,0,-1006.21,229.795,883.185
302,0.302,722,0.034106,2.51994e-06,0,-1041.82,220.122,842.275
303,0.303,722,0.125985,6.67166e-06,0,-1076.81,210.263,802.027
304,0.304,721,0.119668,3.82088e-06,0,-1111.12,200.248,762.492
305,0.305,721,0.037194,2.28046e-08,0,-1144.66,190.112,723.719
306,0.306,721,0.030287,1.98623e-08,0,-1177.37,179.892,685.753
307,0.307,721,0.139782,0.000273165,0,-1209.17,169.627,648.635
308,0.308,721,0.049501,1.56225e-08,0,-1239.98,159.359,612.405
309,0.309,721,0.173209,4.17487e-06,0,-1269.75,149.133,577.101
310,0.31,721,0.199866,3.28079e-05,0,-1298.39,138.994,542.755
311,0.311,721,0.23828,3.83108e-05,0,-1325.83,128.989,509.402
312,0.312,721,0.064886,2.85011e-06,0,-1352.01,119.162,477.074
313,0.313,720,0.225863,2.36649e-06,0,-1376.85,109.559,445.799
314,0.314,713,0.224281,2.09305e-06,0,-1400.29,100.227,415.601
315,0.315,702,0.070279,2.50816e-06,0,-1422.27,91.2077,386.498
316,0.316,694,0.067994,2.48655e-06,0,-1442.75,82.5468,358.487
317,0.317,687,0.486676,0.00152086,0,-1461.7,74.2834,331.574
318,0.318,680,0.060879,2.44938e-06,0,-1479.06,66.4517,305.765
319,0.319,674,0.069461,2.80543e-06,0,-1494.82,59.0809,281.07
320,0.32,669,0.052768,2.32215e-06,0,-1508.95,52.195,257.497
321,0.321,663,0.067622,1.19456e-06,0,-1521.41,45.8133,235.055
322,0.322,657,0.065658,1.15736e-06,0,-1532.19,39.9496,213.75
323,0.323,652,0.336005,2.78313e-05,0,-1541.27,34.6127,193.593
324,0.324,648,0.049547,6.63011e-07,0,-1548.66,29.806,174.593
325,0.325,641,0.053031,6.24832e-07,0,-1554.33,25.5277,156.758
326,0.326,635,2.979689,0.000598067,0,-1558.3,21.7702,140.096
327,0.327,623,2.831094,0.000458696,0,-1560.58,18.5205,124.611
328,0.328,606,1.640691,7.13675e-05,0,-1561.18,15.7606,110.298
329,0.329,588,1.52785,2.27728e-05,0,-1560.14,13.4677,97.1443
330,0.33,562,0.602614,3.20615e-07,0,-1557.51,11.6144,85.1299
331,0.331,536,3.925829,0.000600779,0,-1553.35,10.1696,74.2205
332,0.332,504,0.290306,0.000396873,0,-1547.74,9.09877,64.375
333,0.333,469,0.0691,4.89205e-07,0,-1540.75,8.36431,55.5399
334,0.334,434,0.303707,4.22466e-05,0,-1532.51,7.92653,47.6527
335,0.335,402,0.092997,4.49185e-07,0,-1523.1,7.74437,40.6465
336,0.336,370,0.680759,0.000530124,0,-1512.65,7.77683,34.4566
337,0.337,340,0.449564,0.000188423,0,-1501.26,7.98375,29.0166
338,0.338,313,0.038899,2.50034e-07,0,-1489.05,8.32625,24.2666
339,0.339,286,0.061578,7.32427e-08,0,-1476.12,8.76712,20.1535
340,0.34,262,0.164616,2.41259e-08,0,-1462.55,9.27122,16.6213
341,0.341,235,0.217691,0.000110428,0,-1448.44,9.80585,13.6114
342,0.342,213,0.028722,1.22783e-07,0,-1433.89,10.341,11.0705
343,0.343,187,0.035278,7.26361e-08,0,-1418.98,10.8493,8.94558
344,0.34400000000000003,157,0.212001,1.43238e-05,0,-1403.8,11.3061,7.18299
345,0.34500000000000003,136,0.028245,9.3535e-08,0,-1388.42,11.6892,5.7257
346,0.34600000000000003,114,0.106878,0.000129746,0,-1372.93,11.9793,4.52591
347,0.34700000000000003,99,0.178218,8.02897e-05,0,-1357.38,12.1602,3.54475
348,0.34800000000000003,85,0.068596,0.000201955,0,-1341.84,12.2195,2.74987
349,0.34900000000000003,72,0.147727,3.34687e-06,0,-1326.34,12.1494,2.11004
350,0.35000000000000003,61,0.025195,4.79347e-08,0,-1310.93,11.9469,1.59938
351,0.35100000000000003,50,0.02616,2.26242e-08,0,-1295.63,11.6139,1.19466
352,0.352,42,0.039306,1.16556e-08,0,-1280.46,11.1572,0.876894
353,0.353,36,0.096984,5.12125e-05,0,-1265.43,10.588,0.63071
354,0.354,29,0.13911,3.25134e-05,0,-1250.55,9.92111,0.443338
355,0.355,23,0.024035,5.29709e-09,0,-1235.81,9.17404,0.302941
356,0.356,18,0.024342,2.65533e-09,0,-1221.21,8.36647,0.200303
357,0.357,15,0.089601,7.27172e-05,0,-1206.74,7.51933,0.127398
358,0.358,11,0.024041,3.90516e-09,0,-1192.37,6.65421,0.0769992
359,0.359,8,0.158943,4.81434e-06,0,-1178.1,5.79282,0.0433114
360,0.36,5,0.154772,7.21128e-06,0,-1163.91,4.95656,0.0223349
