step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0
196,0.196,468,0.022095,4.82732e-07,0,-760.643,844.057
197,0.197,463,0.020778,5.22907e-07,0,-713.664,895.694
198,0.198,454,0.068988,7.68545e-05,0,-665.674,948.641
199,0.199,442,0.194421,1.33496e-05,0,-616.215,1002.65
200,0.2,430,0.034943,3.53868e-07,0,-565.228,1057.14
201,0.201,413,0.026303,2.75545e-07,0,-513.121,1111.26
202,0.202,406,0.173924,5.56904e-05,0,-460.68,1164.04
203,0.203,395,0.048087,2.09506e-07,0,-408.845,1214.58
204,0.20400000000000001,390,0.099819,7.70982e-06,0,-358.535,1262.18
205,0.20500000000000002,387,0.033457,3.40789e-06,0,-310.474,1306.3
206,0.20600000000000002,385,0.032703,2.11852e-07,0,-265.236,1346.52
207,0.20700000000000002,384,0.018458,2.40259e-07,0,-223.308,1382.51
208,0.20800000000000002,385,0.122564,2.19861e-05,0,-185.101,1414.02
209,0.209,389,0.100487,1.37992e-05,0,-150.916,1440.94
210,0.21,392,0.02175,3.92827e-07,0,-120.905,1463.26
211,0.211,400,0.032008,2.41211e-07,0,-95.0904,1480.98
212,0.212,407,0.0231,5.43711e-07,0,-73.4399,1494.11
213,0.213,414,0.070903,4.59073e-05,0,-55.9547,1502.54
214,0.214,424,0.08523,0.000111864,0,-42.7273,1506.09
215,0.215,440,0.065542,9.23105e-05,0,-33.9404,1504.53
216,0.216,448,0.024772,8.34691e-07,0,-29.7964,1497.66
217,0.217,463,0.085911,2.82559e-05,0,-30.4635,1485.38
218,0.218,469,0.024847,9.3005e-07,0,-36.1282,1467.67
219,0.219,471,0.025922,9.30633e-07,0,-46.9347,1444.65
220,0.22,472,0.134433,3.72447e-05,0,-62.888,1416.57
221,0.221,472,0.024509,9.40379e-07,0,-83.8202,1383.75
222,0.222,469,0.145899,6.34925e-05,0,-109.439,1346.66
223,0.223,463,0.039726,8.55336e-07,0,-139.307,1305.8
224,0.224,457,0.169863,9.70859e-05,0,-172.88,1261.74
225,0.225,444,0.09055,6.39174e-06,0,-209.548,1215.01
226,0.226,431,0.027541,1.35086e-07,0,-248.697,1166.09
227,0.227,419,0.068136,3.81951e-05,0,-289.76,1115.39
228,0.228,409,0.024002,3.17119e-07,0,-332.254,1063.23
229,0.229,393,0.054804,2.95503e-05,0,-375.786,1009.93
230,0.23,384,0.028589,3.67527e-06,0,-420.016,955.789
231,0.231,372,0.05921,1.30389e-05,0,-464.615,901.163
232,0.232,359,0.060414,3.58921e-07,0,-509.237,846.435
233,0.233,346,0.069336,1.78182e-05,0,-553.515,792.019
234,0.234,330,0.02468,2.30084e-07,0,-597.063,738.322
235,0.23500000000000001,317,0.026445,1.662e-07,0,-639.512,685.73
236,0.23600000000000002,304,0.056176,1.74944e-05,0,-680.517,634.594
237,0.23700000000000002,293,0.019776,3.54352e-07,0,-719.761,585.221
238,0.23800000000000002,283,0.094307,3.49801e-05,0,-756.969,537.869
239,0.23900000000000002,274,0.025846,3.15262e-07,0,-791.906,492.751
240,0.24,259,0.063615,4.22473e-06,0,-824.379,450.037
241,0.241,250,0.123914,1.21419e-05,0,-854.233,409.852
242,0.242,240,0.024267,2.41482e-07,0,-881.368,372.287
243,0.243,229,0.041131,2.27093e-06,0,-905.703,337.417
244,0.244,220,0.077809,5.62574e-05,0,-927.184,305.303
245,0.245,210,0.082012,3.68245e-05,0,-945.775,275.983
246,0.246,198,0.028748,2.22221e-07,0,-961.461,249.483
247,0.247,188,0.025856,3.38963e-07,0,-974.242,225.802
248,0.248,176,0.026354,3.41656e-07,0,-984.142,204.911
249,0.249,164,0.021702,3.46736e-07,0,-991.208,186.742
250,0.25,155,0.069561,7.02498e-05,0,-995.522,171.19
251,0.251,142,0.020467,3.05848e-07,0,-997.199,158.105
252,0.252,134,0.083773,1.25744e-07,0,-996.395,147.294
253,0.253,129,0.023876,2.7143e-07,0,-993.302,138.532
254,0.254,118,0.020317,2.37838e-07,0,-988.136,131.558
255,0.255,113,0.048672,1.35249e-05,0,-981.154,126.087
256,0.256,106,0.019131,1.87909e-07,0,-972.625,121.819
257,0.257,97,0.109923,4.50584e-05,0,-962.833,118.439
258,0.258,89,0.244575,4.62361e-05,0,-952.088,115.622
259,0.259,78,0.019836,4.61522e-08,0,-940.716,113.041
260,0.26,69,0.016205,1.76123e-07,0,-929.068,110.385
261,0.261,61,0.058125,2.42546e-05,0,-917.491,107.385
262,0.262,53,0.027512,3.09532e-08,0,-906.265,103.832
263,0.263,48,0.020808,9.24999e-08,0,-895.609,99.5781
264,0.264,38,0.02803,1.23007e-06,0,-885.678,94.5413
265,0.265,31,0.019852,2.43994e-08,0,-876.586,88.7133
266,0.266,26,0.025701,1.23146e-08,0,-868.379,82.1621
267,0.267,20,0.016002,1.00232e-08,0,-861.017,75.0233
268,0.268,18,0.033273,3.74526e-06,0,-854.383,67.4864
269,0.269,16,0.026936,1.06926e-06,0,-848.285,59.785
270,0.27,10,0.026314,1.9054e-06,0,-842.485,52.1729
271,0.271,10,0.016955,4.60139e-09,0,-836.732,44.8949
272,0.272,8,0.019679,2.61622e-09,0,-830.762,38.1765
273,0.273,8,0.015594,3.53259e-09,0,-824.337,32.2086
274,0.274,7,0.092715,2.60708e-06,0,-817.255,27.1367
275,0.275,4,0.017892,2.02312e-09,0,-809.371,23.0519
276,0.276,4,0.024445,2.0012e-06,0,-800.599,19.9905
277,0.277,3,0.036234,1.66647e-09,0,-790.899,17.9447
278,0.278,3,0.019791,2.52278e-06,0,-780.272,16.8676
279,0.279,2,0.021411,2.14889e-09,0,-768.759,16.678
280,0.28,2,0.017151,9.60893e-07,0,-756.447,17.2674
281,0.281,1,0.013531,1.48654e-06,0,-743.444,18.5054
282,0.28200000000000003,0,0.061305,5.52508e-05,0,-729.892,20.2486
283,0.28300000000000003,0,0.012503,6.06705e-08,0,-715.949,22.3539
284,0.28400000000000003,0,0.014327,6.1637e-08,0,-701.758,24.6905
285,0.28500000000000003,0,0.016838,6.24784e-08,0,-687.453,27.1457
286,0.28600000000000003,0,0.02221,3.43707e-06,0,-673.146,29.6291
287,0.28700000000000003,0,0.011328,6.10308e-08,0,-658.927,32.0736
288,0.28800000000000003,0,0.012909,5.94607e-08,0,-644.861,34.4341
289,0.289,0,0.077063,6.3151e-06,0,-630.992,36.6837
290,0.29,0,0.01319,5.84289e-08,0,-617.346,38.8082
291,0.291,0,0.013041,5.76431e-08,0,-603.933,40.7999
292,0.292,0,0.059177,0.00011106,0,-590.761,42.6515
293,0.293,0,0.013132,5.40354e-08,0,-577.835,44.3516
294,0.294,0,0.013388,5.17451e-08,0,-565.166,45.882
295,0.295,0,0.015281,4.9522e-08,0,-552.771,47.2163
296,0.296,0,0.130225,8.73813e-06,0,-540.678,48.3209
297,0.297,0,0.012254,4.53585e-08,0,-528.919,49.1564
298,0.298,0,0.037805,9.02258e-05,0,-517.536,49.6804
299,0.299,0,0.054993,1.87379e-05,0,-506.57,49.8508
300,0.3,0,0.105329,0.000163477,0,-496.065,49.6297
301,0.301,0,0.07318,0.000135417,0,-486.06,48.9872
302,0.302,0,0.128149,3.58397e-05,0,-476.585,47.9052
303,0.303,0,0.035404,4.82453e-08,0,-467.658,46.3806
304,0.304,0,0.0244,6.00022e-08,0,-459.283,44.4279
305,0.305,0,0.045108,0.000155046,0,-451.445,42.0796
306,0.306,0,0.065722,3.83679e-05,0,-444.112,39.3863
307,0.307,0,0.106769,3.15865e-06,0,-437.231,36.415
308,0.308,0,0.01357,7.26762e-08,0,-430.735,33.2466
309,0.309,0,0.014188,5.65955e-08,0,-424.542,29.9721
310,0.31,0,0.021631,4.92597e-08,0,-418.56,26.6885
311,0.311,0,0.012891,6.78581e-08,0,-412.691,23.4948
312,0.312,0,0.021221,1.90114e-08,0,-406.833,20.4874
313,0.313,0,0.060026,4.40069e-05,0,-400.891,17.7563
314,0.314,0,0.05723,0.000150468,0,-394.772,15.3809
315,0.315,0,0.012774,1.55308e-07,0,-388.398,13.4278
316,0.316,0,0.0115,1.52046e-07,0,-381.699,11.9475
317,0.317,0,0.046139,0.000254297,0,-374.626,10.9734
318,0.318,0,0.078959,2.55946e-05,0,-367.146,10.5208
319,0.319,0,0.058185,6.15386e-05,0,-359.242,10.587
320,0.32,0,0.014858,6.88903e-08,0,-350.918,11.1526
321,0.321,0,0.015874,4.87999e-08,0,-342.193,12.1826
322,0.322,0,0.011996,3.37272e-08,0,-333.103,13.6295
323,0.323,0,0.14055,2.40135e-05,0,-323.696,15.4353
324,0.324,0,0.033616,3.99191e-06,0,-314.031,17.5343
325,0.325,0,0.014638,1.57441e-08,0,-304.173,19.856
326,0.326,0,0.014624,1.37418e-08,0,-294.195,22.3269
327,0.327,0,0.016829,1.2582e-08,0,-284.168,24.8725
328,0.328,0,0.043952,3.05246e-06,0,-274.169,27.4191
329,0.329,0,0.065846,1.03106e-05,0,-264.27,29.894
330,0.33,0,0.014556,1.2914e-08,0,-254.545,32.2275
331,0.331,0,0.014321,1.3589e-08,0,-245.064,34.3528
332,0.332,0,0.012341,1.44028e-08,0,-235.894,36.2069
333,0.333,0,0.027899,2.82623e-06,0,-227.097,37.7322
334,0.334,0,0.031389,4.35631e-05,0,-218.732,38.8772
335,0.335,0,0.012524,1.61099e-08,0,-210.85,39.5983
336,0.336,0,0.014653,1.48733e-08,0,-203.496,39.8612
337,0.337,0,0.029529,4.17123e-05,0,-196.704,39.6429
338,0.338,0,0.012005,1.38255e-08,0,-190.498,38.9334
339,0.339,0,0.014693,1.8998e-08,0,-184.887,37.7366
340,0.34,0,0.059277,2.70641e-08,0,-179.868,36.0721
341,0.341,0,0.016812,3.5655e-08,0,-175.422,33.975
342,0.342,0,0.025794,3.24531e-06,0,-171.512,31.496
343,0.343,0,0.010747,4.8795e-08,0,-168.089,28.7006
344,0.34400000000000003,0,0.013924,5.16382e-08,0,-165.085,25.6672
345,0.34500000000000003,0,0.011133,5.15773e-08,0,-162.422,22.4847
346,0.34600000000000003,0,0.04543,3.01647e-05,0,-160.01,19.2501
347,0.34700000000000003,0,0.013631,4.38144e-08,0,-157.752,16.0642
348,0.34800000000000003,0,0.043887,1.09902e-05,0,-155.544,13.0286
349,0.34900000000000003,0,0.013344,3.0061e-08,0,-153.284,10.2415
350,0.35000000000000003,0,0.015187,2.29269e-08,0,-150.874,7.79355
351,0.35100000000000003,0,0.061563,1.19949e-05,0,-148.222,5.76456
352,0.352,0,0.013958,1.15187e-08,0,-145.247,4.22015
353,0.353,0,0.043044,2.60527e-05,0,-141.883,3.20904
354,0.354,0,0.019744,1.25689e-06,0,-138.08,2.76109
355,0.355,0,0.012266,3.60124e-09,0,-133.81,2.88609
356,0.356,0,0.081369,2.77142e-06,0,-129.061,3.57333
357,0.357,0,0.045551,6.46817e-06,0,-123.845,4.79204
358,0.358,0,0.011921,3.70721e-09,0,-118.193,6.49263
359,0.359,0,0.039659,3.03827e-05,0,-112.155,8.60866
360,0.36,0,0.013091,6.17694e-09,0,-105.798,11.0594
361,0.361,0,0.036401,3.89386e-05,0,-99.2033,13.7528
362,0.362,0,0.014632,8.7321e-09,0,-92.4643,16.5894
363,0.363,0,0.022717,2.46879e-06,0,-85.6813,19.4654
364,0.364,0,0.012114,1.01721e-08,0,-78.9587,22.2772
365,0.365,0,0.016073,3.01411e-06,0,-72.4012,24.9244
366,0.366,0,0.014301,9.61983e-09,0,-66.1099,27.3137
367,0.367,0,0.011462,8.5962e-09,0,-60.1787,29.3621
368,0.368,0,0.03392,1.92568e-09,0,-54.6912,30.9993
369,0.369,0,0.049365,1.20163e-05,0,-49.7182,32.1703
370,0.37,0,0.012338,6.18997e-09,0,-45.315,32.8368
371,0.371,0,0.011414,6.67634e-09,0,-41.52,32.978
372,0.372,0,0.016777,4.1501e-06,0,-38.3539,32.5914
373,0.373,0,0.016271,7.96328e-09,0,-35.8192,31.6921
374,0.374,0,0.181415,1.1684e-05,0,-33.9003,30.3123
375,0.375,0,0.018194,2.02655e-09,0,-32.5646,28.4997
376,0.376,0,0.014403,7.20768e-09,0,-31.7639,26.3158
377,0.377,0,0.049721,1.60166e-05,0,-31.4361,23.8332
378,0.378,0,0.012994,5.20962e-09,0,-31.5077,21.1337
379,0.379,0,0.023536,1.14289e-06,0,-31.8963,18.305
380,0.38,0,0.042058,8.5593e-06,0,-32.5134,15.4377
381,0.381,0,0.015049,2.25403e-09,0,-33.2676,12.6227
382,0.382,0,0.05777,3.44384e-06,0,-34.0672,9.94753
383,0.383,0,0.012215,1.01651e-09,0,-34.8239,7.49428
384,0.384,0,0.02921,6.42557e-06,0,-35.4551,5.33641
385,0.385,0,0.015044,5.33765e-10,0,-35.8866,3.53665
386,0.386,0,0.009638,2.54664e-06,0,-36.0554,2.14495
387,0.387,0,0.008546,2.30898e-06,0,-35.911,1.19702
388,0.388,0,0.01649,2.20595e-06,0,-35.4176,0.713245
389,0.389,0,0.012072,8.5614e-10,0,-34.5547,0.698199
390,0.39,0,0.032096,2.08913e-06,0,-33.3178,1.14065
391,0.391,0,0.037466,2.72556e-09,0,-31.7183,2.01414
392,0.392,0,0.029384,4.33465e-09,0,-29.783,3.27808
393,0.393,0,0.051685,4.03569e-06,0,-27.5529,4.87933
394,0.394,0,0.029155,7.89516e-09,0,-25.0816,6.75424
